year,species,lc_doy,lf_doy,sd_lc_doy,sd_lf_doy
1991,ACPE,276,288,3.928381302,5.345269812
1992,ACPE,278,289,7.838623127,3.532137508
1993,ACPE,279,291,5.755372364,5.271823436
1994,ACPE,279,290,3.298195614,1.415344909
1995,ACPE,270,281,1.097148086,6.302073961
1996,ACPE,279,289,7.759141369,1.90020487
1997,ACPE,278,286,1.461135759,2.886366268
1998,ACPE,278,290,2.275703616,4.532908518
1999,ACPE,283,293,3.888347223,1.751930887
2000,ACPE,280,290,6.510267533,4.519994545
2001,ACPE,281,289,2.716763884,0.588597109
2002,ACPE,284,296,6.183750388,13.68155046
2003,ACPE,283,292,1.822462907,0.46365806
2004,ACPE,283,292,9.672492832,7.118141192
2005,ACPE,285,296,3.867952438,3.724838047
2006,ACPE,277,286,5.485653084,1.309939718
2007,ACPE,278,288,4.705217035,1.152746863
2008,ACPE,281,292,18.06549347,17.0608001
2009,ACPE,277,288,7.921807827,4.944813273
2010,ACPE,274,287,3.004991898,3.464101615
2011,ACPE,285,293,5.5712175,1.174700088
2012,ACPE,280,288,0.563606006,2.06312238
2013,ACPE,281,289,6.088544102,4.285680417
2014,ACPE,279,289,3.506739216,3.819015857
2015,ACPE,285,293,7.363731369,8.296125593
2016,ACPE,284,294,5.991630513,6.068148751
2017,ACPE,282,291,4.386144352,8.115326327
2018,ACPE,291,300,5.6292439,2.7101051
2019,ACPE,281,293,20.01939546,2.671591714
2020,ACPE,278,290,1.554114499,4.845234507
2021,ACPE,286,293,7.223282828,10.69040756
2022,ACPE,279,289,1.56439715,5.716252292
1991,ACRU,266,279,3.550139885,1.851271252
1992,ACRU,268,285,5.17101158,7.25798879
1993,ACRU,270,278,8.640249243,0
1994,ACRU,268,278,NA,8.657014398
1995,ACRU,267,276,7.282143444,0.214238436
1996,ACRU,272,281,2.89855479,0.769744548
1997,ACRU,273,282,2.334291994,0
1998,ACRU,270,279,6.62127106,0.214238436
1999,ACRU,276,286,NA,2.114085198
2000,ACRU,273,282,6.198988958,1.732007506
2001,ACRU,274,282,NA,11.90323228
2002,ACRU,275,286,0.128345607,0
2003,ACRU,278,285,5.443499175,0
2004,ACRU,274,283,NA,NA
2005,ACRU,278,285,10.01666228,9.076083469
2006,ACRU,270,278,10.70449546,0
2007,ACRU,274,284,NA,1.156968787
2008,ACRU,271,282,NA,6.370590554
2009,ACRU,270,280,NA,NA
2010,ACRU,270,279,NA,7.051941714
2011,ACRU,274,282,0,0
2012,ACRU,270,279,1.040103254,2.30939819
2013,ACRU,267,277,NA,NA
2014,ACRU,271,282,NA,NA
2015,ACRU,278,288,1.171070144,1.275143779
2016,ACRU,275,288,7.248099951,10.52640791
2017,ACRU,274,286,NA,4.5502939
2018,ACRU,274,283,NA,7.732105565
2019,ACRU,267,282,7.981082449,0
2020,ACRU,270,285,NA,7.579712012
2021,ACRU,273,285,NA,1.885693508
2022,ACRU,270,281,3.178934542,8.863561819
1991,ACSA,284,296,NA,6.823598211
1992,ACSA,277,294,NA,8.049286646
1993,ACSA,279,292,8.241138981,7.573397335
1994,ACSA,281,290,2.821383508,6.105441182
1995,ACSA,281,291,6.159802301,5.209641336
1996,ACSA,285,292,0.661813478,0.793860589
1997,ACSA,284,295,4.128680043,6.024941966
1998,ACSA,281,290,0,5.943239107
1999,ACSA,283,294,4.330033199,7.13726567
2000,ACSA,281,293,5.23637584,3.675364028
2001,ACSA,285,296,4.882876776,5.213166482
2002,ACSA,290,302,11.45159559,12.06293127
2003,ACSA,283,293,5.356855627,0
2004,ACSA,286,299,1.585454295,0.691679648
2005,ACSA,290,302,6.772515425,8.368319183
2006,ACSA,279,290,4.154792707,5.265931985
2007,ACSA,286,300,11.55210709,3.473250459
2008,ACSA,283,295,3.824000628,8.788541822
2009,ACSA,281,294,0.311136115,4.411533018
2010,ACSA,279,294,0.704023339,0.157893024
2011,ACSA,277,291,6.25154541,8.148269172
2012,ACSA,275,288,2.020851516,1.245863887
2013,ACSA,275,286,6.826353927,12.6623729
2014,ACSA,280,292,0.202263511,0.147026496
2015,ACSA,286,298,16.04314868,NA
2016,ACSA,286,296,1.038759128,3.561182109
2017,ACSA,282,291,8.093081771,6.720640333
2018,ACSA,275,289,5.496615602,4.752285996
2019,ACSA,278,293,6.986333506,9.786268839
2020,ACSA,279,295,6.216881048,5.96586233
2021,ACSA,272,288,2.076479102,3.327001417
2022,ACSA,279,291,0.352791646,0.449104301
1991,AMSP,271,280,5.096658342,7.725490201
1992,AMSP,283,285,6.948939138,19.30663621
1993,AMSP,272,285,13.24298214,3.818581667
1994,AMSP,271,280,5.295067495,4.535292216
1995,AMSP,270,280,8.865719056,7.613350683
1996,AMSP,274,286,5.999226105,4.641158159
1997,AMSP,275,284,7.995951523,7.73158972
1998,AMSP,272,283,4.203403136,1.478461606
1999,AMSP,278,289,3.034441575,8.143429813
2000,AMSP,277,285,9.270567752,5.7531665
2001,AMSP,278,285,1.633822503,1.550434656
2002,AMSP,280,291,1.924873056,3.828486407
2003,AMSP,281,286,8.734583183,9.382268985
2004,AMSP,282,287,0.514369722,4.714025173
2005,AMSP,278,286,2.109112904,2.116705511
2006,AMSP,268,278,8.471044501,10.12695585
2007,AMSP,275,285,8.73693206,9.649525554
2008,AMSP,276,287,7.61060868,4.040460594
2009,AMSP,272,282,5.784992909,4.58091577
2010,AMSP,273,281,10.5809872,20.83489857
2011,AMSP,268,272,0.500458376,0.973579272
2012,AMSP,271,279,5.221512843,2.045853314
2013,AMSP,268,274,0.268206522,0.449666671
2014,AMSP,271,278,11.26857403,14.70524512
2015,AMSP,281,291,0.707828494,1.562360126
2016,AMSP,280,290,13.93407902,13.96911987
2017,AMSP,276,286,0.957706735,1.79820828
2018,AMSP,276,285,8.793635029,5.809802244
2019,AMSP,277,287,7.386687874,5.407144044
2020,AMSP,279,288,6.545642924,7.932748204
2021,AMSP,282,289,7.373092459,8.008895328
2022,AMSP,280,289,4.783694648,1.312281915
1991,ARSP,274,283,0.561198815,1.035762428
1992,ARSP,282,285,2.261835789,7.794879132
1993,ARSP,275,281,5.30691747,3.192240162
1994,ARSP,278,289,2.679716827,2.354095898
1995,ARSP,277,283,4.640939837,1.181308113
1996,ARSP,283,291,2.861480106,3.58108826
1997,ARSP,280,299,5.728640288,4.93290077
1998,ARSP,283,300,1.817900335,4.638024342
1999,ARSP,286,293,6.767862444,8.09108505
2000,ARSP,284,298,1.487176906,3.911275766
2001,ARSP,286,292,6.022901651,5.174080302
1991,BEAL,268,278,7.683873241,6.79684502
1992,BEAL,275,285,6.752561648,7.348462197
1993,BEAL,272,279,15.00914348,9.055875977
1994,BEAL,267,277,7.56066746,7.980043982
1995,BEAL,269,277,3.504899093,6.751902326
1996,BEAL,275,285,6.768210155,11.51595959
1997,BEAL,274,283,6.827053368,7.89593224
